player_id,year,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG_pct,_3P,_3PA,_3P_pct,_2P,_2PA,_2P_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,6MOY,AS,CPOY,DEF1,DEF2,DPOY,MIP,MVP,NBA1,NBA2,NBA3,ROY
slawsja01,2024,534.0,Jalen Slawson,24.0,SAC,SF,12.0,0.0,37.0,3.9,5.8,0.667,0.0,1.9,0.0,3.9,3.9,1.0,0.667,0.0,0.0,,1.0,5.8,6.8,1.9,1.0,1.0,1.9,7.8,7.8,0,0,0,0,0,0,0,0,0,0,0,0
brownch02,2024,535.0,Charlie Brown Jr.,26.0,NYK,SG,8.0,0.0,37.0,1.9,9.7,0.2,1.9,6.8,0.286,0.0,2.9,0.0,0.3,0.0,0.0,,1.0,1.0,1.9,0.0,0.0,1.9,1.9,4.9,5.8,0,0,0,0,0,0,0,0,0,0,0,0
cartodj01,2024,536.0,D.J. Carton,23.0,TOR,SG,4.0,0.0,36.0,3.0,8.0,0.375,1.0,4.0,0.25,2.0,4.0,0.5,0.438,4.0,5.0,0.8,2.0,2.0,4.0,3.0,1.0,0.0,1.0,3.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0
dennide01,2024,537.0,Dexter Dennis,24.0,DAL,SG,4.0,0.0,30.0,12.0,22.8,0.526,1.2,9.6,0.125,10.8,13.2,0.818,0.553,1.2,3.6,0.333,1.2,9.6,10.8,4.8,0.0,1.2,3.6,1.2,26.4,0,0,0,0,0,0,0,0,0,0,0,0
drellhe01,2024,538.0,Henri Drell,23.0,CHI,SF,4.0,0.0,30.0,4.8,12.0,0.4,2.4,7.2,0.333,2.4,4.8,0.5,0.5,1.2,2.4,0.5,1.2,3.6,4.8,4.8,2.4,1.2,2.4,7.2,13.2,0,0,0,0,0,0,0,0,0,0,0,0
millejo02,2024,539.0,Jordan Miller,24.0,LAC,SF,8.0,0.0,28.0,6.4,11.6,0.556,1.3,2.6,0.5,5.1,9.0,0.571,0.611,2.6,2.6,1.0,3.9,2.6,6.4,0.0,0.0,0.0,1.3,2.6,16.7,0,0,0,0,0,0,0,0,0,0,0,0
jonesma05,2024,540.0,Mason Jones,25.0,SAC,SG,5.0,0.0,28.0,2.6,10.3,0.25,2.6,9.0,0.286,0.0,1.3,0.0,0.375,1.3,2.6,0.5,1.3,5.1,6.4,6.4,1.3,0.0,2.6,3.9,9.0,0,0,0,0,0,0,0,0,0,0,0,0
nancepe01,2024,541.0,Pete Nance,23.0,CLE,PF,8.0,0.0,27.0,1.3,8.0,0.167,1.3,1.3,1.0,0.0,6.7,0.0,0.25,0.0,2.7,0.0,0.0,4.0,4.0,0.0,1.3,0.0,1.3,2.7,4.0,0,0,0,0,0,0,0,0,0,0,0,0
spencpa01,2024,542.0,Pat Spencer,27.0,GSW,PG,6.0,0.0,26.0,2.8,5.5,0.5,0.0,2.8,0.0,2.8,2.8,1.0,0.5,0.0,0.0,,2.8,2.8,5.5,6.9,0.0,0.0,1.4,1.4,5.5,0,0,0,0,0,0,0,0,0,0,0,0
whiteda01,2024,543.0,Dariq Whitehead,19.0,BRK,SF,2.0,0.0,24.0,1.5,7.5,0.2,0.0,4.5,0.0,1.5,3.0,0.5,0.2,1.5,3.0,0.5,0.0,6.0,6.0,4.5,0.0,1.5,0.0,0.0,4.5,0,0,0,0,0,0,0,0,0,0,0,0
diakima01,2024,544.0,Mamadi Diakite,27.0,2TM,PF,6.0,0.0,24.0,6.0,9.0,0.667,0.0,1.5,0.0,6.0,7.5,0.8,0.667,6.0,9.0,0.667,1.5,4.5,6.0,3.0,1.5,1.5,1.5,3.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0
diakima01,2024,544.0,Mamadi Diakite,27.0,SAS,PF,3.0,0.0,16.0,9.0,11.3,0.8,0.0,0.0,,9.0,11.3,0.8,0.8,9.0,13.5,0.667,2.3,4.5,6.8,4.5,0.0,2.3,0.0,2.3,27.0,0,0,0,0,0,0,0,0,0,0,0,0
diakima01,2024,544.0,Mamadi Diakite,27.0,NYK,PF,3.0,0.0,8.0,0.0,4.5,0.0,0.0,4.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,4.5,4.5,0.0,4.5,0.0,4.5,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0
liddeej01,2024,545.0,E.J. Liddell,23.0,NOP,PF,8.0,0.0,23.0,1.6,9.4,0.167,0.0,7.8,0.0,1.6,1.6,1.0,0.167,3.1,3.1,1.0,0.0,7.8,7.8,1.6,3.1,3.1,3.1,3.1,6.3,0,0,0,0,0,0,0,0,0,0,0,0
peterdr01,2024,546.0,Drew Peterson,24.0,BOS,PF,3.0,0.0,23.0,6.3,9.4,0.667,4.7,7.8,0.6,1.6,1.6,1.0,0.917,0.0,0.0,,0.0,1.6,1.6,1.6,3.1,0.0,1.6,1.6,17.2,0,0,0,0,0,0,0,0,0,0,0,0
fordjo01,2024,547.0,Jordan Ford,25.0,SAC,PG,6.0,0.0,22.0,6.5,11.5,0.571,3.3,4.9,0.667,3.3,6.5,0.5,0.714,3.3,3.3,1.0,0.0,3.3,3.3,3.3,0.0,0.0,1.6,0.0,19.6,0,0,0,0,0,0,0,0,0,0,0,0
thomais02,2024,548.0,Isaiah Thomas,34.0,PHO,PG,6.0,0.0,19.0,5.7,18.9,0.3,3.8,7.6,0.5,1.9,11.4,0.167,0.4,0.0,0.0,,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,15.2,0,0,0,0,0,0,0,0,0,0,0,0
garubus01,2024,549.0,Usman Garuba,21.0,GSW,PF,6.0,0.0,18.0,2.0,12.0,0.167,0.0,2.0,0.0,2.0,10.0,0.2,0.167,2.0,4.0,0.5,6.0,8.0,14.0,2.0,2.0,6.0,4.0,4.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0
greenda02,2024,550.0,Danny Green,36.0,PHI,SG,2.0,0.0,18.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,4.0,4.0,2.0,2.0,0.0,0.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
willial06,2024,551.0,Alondes Williams,24.0,MIA,SG,7.0,0.0,16.0,4.5,18.0,0.25,0.0,9.0,0.0,4.5,9.0,0.5,0.25,2.3,2.3,1.0,0.0,2.3,2.3,0.0,0.0,2.3,4.5,4.5,11.3,0,0,0,0,0,0,0,0,0,0,0,0
jeromty01,2024,552.0,Ty Jerome,26.0,CLE,SG,2.0,0.0,15.0,4.8,9.6,0.5,0.0,2.4,0.0,4.8,7.2,0.667,0.5,0.0,0.0,,2.4,0.0,2.4,7.2,0.0,0.0,2.4,4.8,9.6,0,0,0,0,0,0,0,0,0,0,0,0
wilsodj01,2024,553.0,D.J. Wilson,27.0,PHI,PF,2.0,0.0,15.0,9.6,14.4,0.667,4.8,4.8,1.0,4.8,9.6,0.5,0.833,0.0,0.0,,2.4,2.4,4.8,4.8,0.0,4.8,0.0,2.4,24.0,0,0,0,0,0,0,0,0,0,0,0,0
flaglad01,2024,554.0,Adam Flagler,24.0,OKC,SG,2.0,0.0,14.0,2.6,18.0,0.143,2.6,15.4,0.167,0.0,2.6,0.0,0.214,0.0,0.0,,0.0,0.0,0.0,10.3,0.0,0.0,0.0,0.0,7.7,0,0,0,0,0,0,0,0,0,0,0,0
funkan01,2024,555.0,Andrew Funk,24.0,CHI,SG,5.0,0.0,13.0,0.0,11.1,0.0,0.0,8.3,0.0,0.0,2.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.8,2.8,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
jacksqu01,2024,556.0,Quenton Jackson,25.0,IND,PG,3.0,0.0,11.0,0.0,3.3,0.0,0.0,0.0,,0.0,3.3,0.0,0.0,6.5,6.5,1.0,0.0,13.1,13.1,6.5,3.3,0.0,0.0,3.3,6.5,0,0,0,0,0,0,0,0,0,0,0,0
primojo01,2024,557.0,Joshua Primo,21.0,LAC,SG,2.0,0.0,10.0,3.6,10.8,0.333,0.0,3.6,0.0,3.6,7.2,0.5,0.333,0.0,0.0,,3.6,0.0,3.6,0.0,0.0,3.6,14.4,0.0,7.2,0,0,0,0,0,0,0,0,0,0,0,0
petrufi01,2024,558.0,Filip Petrušev,23.0,2TM,C,3.0,0.0,10.0,3.6,7.2,0.5,0.0,0.0,,3.6,7.2,0.5,0.5,3.6,7.2,0.5,0.0,3.6,3.6,0.0,0.0,0.0,0.0,3.6,10.8,0,0,0,0,0,0,0,0,0,0,0,0
petrufi01,2024,558.0,Filip Petrušev,23.0,PHI,C,1.0,0.0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
petrufi01,2024,558.0,Filip Petrušev,23.0,SAC,C,2.0,0.0,7.0,5.1,10.3,0.5,0.0,0.0,,5.1,10.3,0.5,0.5,5.1,10.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,15.4,0,0,0,0,0,0,0,0,0,0,0,0
wiggili01,2024,559.0,Lindell Wigginton,25.0,MIL,PG,3.0,0.0,8.0,9.0,22.5,0.4,0.0,9.0,0.0,9.0,13.5,0.667,0.4,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,27.0,0,0,0,0,0,0,0,0,0,0,0,0
gateska01,2024,560.0,Kaiser Gates,27.0,NOP,SF,1.0,0.0,7.0,0.0,20.6,0.0,0.0,10.3,0.0,0.0,10.3,0.0,0.0,0.0,0.0,,0.0,5.1,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
harrish01,2024,561.0,Shaquille Harrison,30.0,MEM,SG,3.0,0.0,6.0,6.0,12.0,0.5,0.0,0.0,,6.0,12.0,0.5,0.5,0.0,0.0,,0.0,12.0,12.0,0.0,0.0,6.0,0.0,0.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0
harrike01,2024,562.0,Kevon Harris,26.0,ORL,SG,2.0,0.0,6.0,12.0,18.0,0.667,0.0,0.0,,12.0,18.0,0.667,0.667,0.0,0.0,,0.0,12.0,12.0,6.0,0.0,0.0,6.0,18.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0
diallha01,2024,563.0,Hamidou Diallo,25.0,WAS,SG,2.0,0.0,5.0,7.2,14.4,0.5,0.0,0.0,,7.2,14.4,0.5,0.5,0.0,0.0,,14.4,0.0,14.4,7.2,14.4,0.0,7.2,7.2,14.4,0,0,0,0,0,0,0,0,0,0,0,0
harpero02,2024,564.0,Ron Harper Jr.,23.0,TOR,PF,1.0,0.0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,9.0,0.0,0.0,0.0,18.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
nowelma01,2024,565.0,Markquis Nowell,24.0,TOR,SG,1.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,,0.0,9.0,0.0,0.0,18.0,18.0,1.0,18.0,0.0,18.0,18.0,9.0,0.0,0.0,0.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0
wongis01,2024,566.0,Isaiah Wong,23.0,IND,SG,1.0,0.0,4.0,9.0,27.0,0.333,0.0,9.0,0.0,9.0,18.0,0.5,0.333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0
brockiz01,2024,567.0,Izaiah Brockington,24.0,NOP,PG,1.0,0.0,3.0,24.0,60.0,0.4,0.0,12.0,0.0,24.0,48.0,0.5,0.4,0.0,0.0,,12.0,12.0,24.0,0.0,0.0,0.0,0.0,0.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0
cazalma01,2024,568.0,Malcolm Cazalon,22.0,DET,SG,1.0,0.0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
crutcja01,2024,569.0,Jalen Crutcher,24.0,NOP,PG,1.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,,0.0,12.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
skapidm01,2024,570.0,Dmytro Skapintsev,25.0,NYK,C,2.0,0.0,2.0,0.0,18.0,0.0,0.0,0.0,,0.0,18.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
jacksju01,2024,571.0,Justin Jackson,28.0,MIN,SF,2.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
smartja01,2024,572.0,Javonte Smart,24.0,PHI,PG,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
bridgmi01,2025,1.0,Mikal Bridges,28.0,NYK,SF,82.0,82.0,3036.0,7.0,14.0,0.5,1.9,5.5,0.354,5.1,8.5,0.594,0.57,1.1,1.4,0.814,0.8,2.2,3.1,3.6,0.9,0.5,1.6,1.5,17.1,0,0,0,0,0,0,0,0,0,0,0,0
hartjo01,2025,2.0,Josh Hart,29.0,NYK,SG,77.0,77.0,2897.0,5.0,9.6,0.525,1.0,3.1,0.333,4.0,6.4,0.618,0.579,2.0,2.5,0.776,2.0,7.2,9.2,5.6,1.5,0.3,2.0,2.5,13.1,0,0,0,0,0,0,0,0,0,0,0,0
edwaran01,2025,3.0,Anthony Edwards,23.0,MIN,SG,79.0,79.0,2871.0,9.0,20.2,0.447,4.0,10.2,0.395,5.0,10.0,0.501,0.547,5.2,6.2,0.837,0.8,4.9,5.6,4.5,1.1,0.6,3.1,1.9,27.3,0,1,3,0,0,0,0,7,0,1,0,0
bookede01,2025,4.0,Devin Booker,28.0,PHO,SG,75.0,75.0,2795.0,8.4,18.3,0.461,2.4,7.1,0.332,6.1,11.2,0.542,0.525,5.6,6.2,0.894,1.0,2.9,3.9,6.8,0.9,0.2,2.8,2.6,24.8,0,0,0,0,0,0,0,0,0,0,0,0
hardeja01,2025,5.0,James Harden,35.0,LAC,PG,79.0,79.0,2789.0,6.9,16.7,0.41,3.0,8.6,0.352,3.8,8.1,0.472,0.501,6.5,7.5,0.874,0.7,5.2,5.9,8.9,1.5,0.7,4.4,2.1,23.3,0,1,0,0,0,0,0,10,0,0,1,0
derozde01,2025,6.0,DeMar DeRozan,35.0,SAC,SF,77.0,77.0,2768.0,8.1,17.0,0.477,1.1,3.3,0.328,7.0,13.7,0.513,0.509,4.9,5.7,0.857,0.7,3.2,3.9,4.4,0.8,0.4,1.4,2.0,22.2,0,0,0,0,0,0,0,0,0,0,0,0
youngtr01,2025,7.0,Trae Young,26.0,ATL,PG,76.0,76.0,2739.0,7.4,18.1,0.411,2.9,8.4,0.34,4.6,9.6,0.474,0.491,6.5,7.4,0.875,0.5,2.6,3.1,11.6,1.2,0.2,4.7,1.9,24.2,0,1,4,0,0,0,0,0,0,0,0,0
herroty01,2025,8.0,Tyler Herro,25.0,MIA,SG,77.0,77.0,2725.0,8.6,18.2,0.472,3.3,8.9,0.375,5.3,9.4,0.565,0.563,3.8,4.3,0.878,0.5,4.8,5.3,5.6,0.9,0.2,2.6,1.1,24.3,0,1,0,0,0,0,0,0,0,0,0,0
anunoog01,2025,9.0,OG Anunoby,27.0,NYK,PF,74.0,74.0,2706.0,6.5,13.7,0.476,2.3,6.1,0.372,4.2,7.5,0.561,0.559,2.4,3.0,0.81,1.3,3.5,4.8,2.2,1.5,0.9,1.4,2.3,17.7,0,0,0,0,0,0,0,0,0,0,0,0
greenja05,2025,10.0,Jalen Green,22.0,HOU,SG,82.0,82.0,2697.0,8.1,19.2,0.423,3.1,8.8,0.354,5.0,10.4,0.482,0.505,3.6,4.5,0.813,0.6,4.4,5.0,3.8,0.9,0.4,2.7,1.7,23.0,0,0,0,0,0,0,0,0,0,0,0,0
braunch01,2025,11.0,Christian Braun,23.0,DEN,SG,79.0,77.0,2675.0,6.4,11.0,0.58,1.2,3.0,0.397,5.2,8.0,0.648,0.634,2.4,2.9,0.827,1.3,4.2,5.5,2.8,1.1,0.5,1.1,2.3,16.4,0,0,0,0,0,0,0,0,0,0,0,0
adebaba01,2025,12.0,Bam Adebayo,27.0,MIA,C,78.0,78.0,2674.0,7.3,15.0,0.485,1.1,3.0,0.357,6.2,12.0,0.517,0.521,3.4,4.4,0.765,2.5,7.6,10.1,4.5,1.3,0.7,2.2,2.2,19.0,0,0,0,0,0,10,0,0,0,0,0,0
zubaciv01,2025,13.0,Ivica Zubac,27.0,LAC,C,80.0,80.0,2624.0,8.1,12.9,0.628,0.0,0.0,,8.1,12.9,0.628,0.628,2.1,3.2,0.661,4.1,9.7,13.9,2.9,0.8,1.2,1.7,2.3,18.4,0,0,0,0,1,6,0,0,0,0,0,0
tatumja01,2025,14.0,Jayson Tatum,26.0,BOS,PF,72.0,72.0,2624.0,9.1,20.1,0.452,3.4,10.0,0.343,5.7,10.1,0.559,0.537,4.9,6.0,0.814,0.7,7.9,8.5,5.9,1.0,0.5,2.9,2.2,26.5,0,1,10,0,0,0,0,4,1,0,0,0
mcdanja02,2025,15.0,Jaden McDaniels,24.0,MIN,PF,82.0,82.0,2614.0,5.5,11.5,0.477,1.4,4.2,0.33,4.1,7.3,0.561,0.537,1.4,1.8,0.813,1.8,4.7,6.5,2.2,1.5,1.0,1.3,3.1,13.8,0,0,0,0,0,0,0,0,0,0,0,0
murrake02,2025,16.0,Keegan Murray,24.0,SAC,PF,76.0,76.0,2610.0,5.0,11.3,0.444,2.1,6.2,0.343,2.9,5.1,0.566,0.538,0.8,1.0,0.833,2.0,5.0,7.0,1.5,0.8,1.0,0.8,2.6,13.0,0,0,0,0,0,0,0,0,0,0,0,0
lavinza01,2025,17.0,Zach LaVine,29.0,2TM,SG,74.0,74.0,2602.0,8.6,16.9,0.511,3.3,7.4,0.446,5.3,9.5,0.562,0.609,3.3,3.9,0.825,0.3,4.1,4.4,4.3,0.8,0.2,2.9,1.7,23.9,0,0,0,0,0,0,0,0,0,0,0,0
lavinza01,2025,17.0,Zach LaVine,29.0,CHI,SF,42.0,42.0,1432.0,9.1,17.8,0.511,3.4,7.7,0.446,5.7,10.2,0.56,0.607,3.6,4.6,0.797,0.3,4.8,5.1,4.8,1.0,0.3,3.0,1.6,25.3,0,0,0,0,0,0,0,0,0,0,0,0
lavinza01,2025,17.0,Zach LaVine,29.0,SAC,SG,32.0,32.0,1170.0,8.1,15.8,0.511,3.2,7.1,0.446,4.9,8.7,0.564,0.611,2.8,3.2,0.874,0.3,3.2,3.5,3.7,0.6,0.1,2.7,1.8,22.1,0,0,0,0,0,0,0,0,0,0,0,0
gilgesh01,2025,18.0,Shai Gilgeous-Alexander,26.0,OKC,PG,76.0,76.0,2598.0,11.9,22.9,0.519,2.3,6.0,0.375,9.7,16.9,0.571,0.569,8.3,9.3,0.898,0.9,4.3,5.3,6.7,1.8,1.1,2.5,2.3,34.4,0,1,8,0,0,10,0,1,1,0,0,0
portemi01,2025,19.0,Michael Porter Jr.,26.0,DEN,SF,77.0,77.0,2593.0,7.3,14.5,0.504,2.7,6.8,0.395,4.7,7.8,0.599,0.596,2.1,2.7,0.768,1.9,5.6,7.5,2.3,0.7,0.5,1.4,2.2,19.4,0,0,0,0,0,0,0,0,0,0,0,0
whitede01,2025,20.0,Derrick White,30.0,BOS,SG,76.0,76.0,2574.0,5.9,13.4,0.442,3.7,9.7,0.384,2.2,3.7,0.593,0.58,1.9,2.3,0.839,0.9,3.8,4.8,5.0,1.0,1.1,1.8,1.9,17.5,0,0,0,0,0,10,0,0,0,0,0,0
daniedy01,2025,21.0,Dyson Daniels,21.0,ATL,SG,76.0,76.0,2571.0,6.4,12.9,0.493,1.1,3.3,0.34,5.3,9.6,0.545,0.536,1.2,2.0,0.593,1.7,4.6,6.3,4.7,3.2,0.8,2.2,2.5,15.0,0,0,0,1,0,2,1,0,0,0,0,0
jokicni01,2025,22.0,Nikola Jokić,29.0,DEN,C,70.0,70.0,2571.0,11.0,19.1,0.576,1.9,4.6,0.417,9.1,14.5,0.627,0.627,5.1,6.3,0.8,2.8,9.7,12.5,10.0,1.8,0.6,3.2,2.2,29.0,0,1,2,0,0,0,0,2,1,0,0,0
reaveau01,2025,23.0,Austin Reaves,26.0,LAL,SG,73.0,73.0,2550.0,6.7,14.6,0.46,2.8,7.5,0.377,3.9,7.1,0.547,0.556,4.5,5.2,0.877,0.9,3.8,4.6,5.9,1.1,0.3,2.5,2.1,20.8,0,0,0,0,0,0,0,0,0,0,0,0
camarto01,2025,24.0,Toumani Camara,24.0,POR,PF,78.0,78.0,2548.0,4.6,10.1,0.458,1.9,5.1,0.375,2.7,5.0,0.542,0.552,1.3,1.8,0.722,2.4,3.9,6.4,2.5,1.6,0.7,1.5,3.2,12.5,0,0,0,0,1,9,0,0,0,0,0,0
siakapa01,2025,25.0,Pascal Siakam,30.0,IND,PF,78.0,78.0,2548.0,8.7,16.7,0.519,1.8,4.6,0.389,6.9,12.1,0.568,0.572,3.2,4.4,0.734,1.9,5.8,7.6,3.7,1.0,0.6,1.5,2.7,22.3,0,1,0,0,0,0,0,0,0,0,0,0
lopezbr01,2025,26.0,Brook Lopez,36.0,MIL,C,80.0,80.0,2546.0,5.6,10.9,0.509,2.0,5.3,0.373,3.6,5.7,0.636,0.599,1.6,2.0,0.826,1.6,4.1,5.7,2.0,0.7,2.1,1.2,2.4,14.7,0,0,0,0,0,0,0,0,0,0,0,0
townska01,2025,27.0,Karl-Anthony Towns,29.0,NYK,C,72.0,72.0,2517.0,9.1,17.4,0.526,2.0,4.8,0.42,7.1,12.5,0.567,0.584,4.8,5.8,0.829,3.0,10.1,13.2,3.2,1.0,0.7,2.7,3.6,25.2,0,1,0,0,0,0,0,0,0,0,1,0
carrica01,2025,28.0,Bub Carrington,19.0,WAS,PG,82.0,57.0,2458.0,4.4,11.0,0.401,2.0,6.0,0.339,2.4,5.0,0.475,0.493,1.0,1.2,0.812,0.5,4.5,5.0,5.3,0.8,0.3,2.1,2.8,11.8,0,0,0,0,0,0,0,0,0,0,0,0
cunnica01,2025,29.0,Cade Cunningham,23.0,DET,PG,70.0,70.0,2452.0,10.0,21.4,0.469,2.2,6.1,0.356,7.9,15.3,0.515,0.521,4.6,5.4,0.846,0.8,5.4,6.2,9.4,1.0,0.8,4.5,2.9,26.9,0,1,0,0,0,0,0,7,0,0,1,0
halibty01,2025,30.0,Tyrese Haliburton,24.0,IND,PG,73.0,73.0,2451.0,7.0,14.8,0.473,3.2,8.3,0.388,3.8,6.5,0.581,0.582,2.8,3.3,0.851,0.6,3.2,3.8,9.9,1.5,0.7,1.8,1.4,20.0,0,0,0,0,0,0,0,0,0,0,1,0
whiteco01,2025,31.0,Coby White,24.0,CHI,SG,74.0,73.0,2450.0,7.5,16.5,0.453,3.2,8.6,0.37,4.3,7.9,0.544,0.55,4.1,4.5,0.902,0.4,3.6,4.0,4.8,1.0,0.2,2.6,2.3,22.2,0,0,0,0,0,0,0,0,0,0,0,0
jamesle01,2025,32.0,LeBron James,40.0,LAL,SF,70.0,70.0,2444.0,9.6,18.7,0.513,2.2,5.8,0.376,7.4,12.9,0.574,0.571,3.8,4.9,0.782,1.1,7.0,8.0,8.5,1.0,0.6,3.8,1.5,25.2,0,1,7,0,0,0,0,6,0,1,0,0
sabondo01,2025,33.0,Domantas Sabonis,28.0,SAC,C,70.0,70.0,2429.0,7.8,13.2,0.59,1.0,2.3,0.417,6.8,10.9,0.627,0.627,3.2,4.3,0.754,4.0,10.4,14.4,6.3,0.7,0.4,3.0,3.4,19.8,0,0,0,0,0,0,0,0,0,0,0,0
murraja01,2025,34.0,Jamal Murray,27.0,DEN,PG,67.0,67.0,2418.0,7.9,16.7,0.474,2.3,5.9,0.393,5.6,10.8,0.518,0.543,3.2,3.7,0.886,0.7,3.2,3.9,6.0,1.4,0.5,2.1,1.9,21.4,0,0,0,0,0,0,0,0,0,0,0,0
sengual01,2025,35.0,Alperen Şengün,22.0,HOU,C,76.0,76.0,2395.0,8.5,17.2,0.496,0.3,1.4,0.233,8.2,15.8,0.519,0.505,4.4,6.4,0.692,3.9,7.9,11.8,5.6,1.3,0.9,2.9,3.1,21.8,0,1,0,0,0,0,0,0,0,0,0,0
brookdi01,2025,36.0,Dillon Brooks,29.0,HOU,SF,75.0,75.0,2388.0,5.8,13.5,0.429,2.8,7.1,0.397,3.0,6.4,0.465,0.533,1.5,1.8,0.818,1.1,3.0,4.1,1.9,0.9,0.2,1.1,3.6,15.9,0,0,0,0,0,0,0,0,0,0,0,0
goberru01,2025,37.0,Rudy Gobert,32.0,MIN,C,72.0,72.0,2388.0,5.1,7.7,0.669,0.0,0.0,,5.1,7.7,0.669,0.669,2.8,4.1,0.674,4.0,7.8,11.8,1.9,0.8,1.6,1.3,2.7,13.1,0,0,0,0,1,13,0,0,0,0,0,0
harrito02,2025,38.0,Tobias Harris,32.0,DET,PF,73.0,73.0,2305.0,6.0,12.6,0.477,1.4,4.1,0.345,4.6,8.4,0.542,0.534,2.2,2.6,0.861,1.0,5.7,6.7,2.5,1.2,0.9,1.3,2.2,15.6,0,0,0,0,0,0,0,0,0,0,0,0
garlada01,2025,39.0,Darius Garland,25.0,CLE,PG,75.0,75.0,2301.0,8.7,18.4,0.472,3.3,8.3,0.401,5.4,10.1,0.53,0.562,3.5,4.0,0.878,0.7,2.6,3.3,7.9,1.4,0.2,3.0,2.2,24.2,0,1,6,0,0,0,0,0,0,0,0,0
brunsja01,2025,40.0,Jalen Brunson,28.0,NYK,PG,65.0,65.0,2301.0,9.2,18.8,0.488,2.4,6.2,0.383,6.8,12.6,0.539,0.551,5.8,7.0,0.821,0.4,2.5,2.9,7.4,0.9,0.1,2.6,2.2,26.4,0,1,1,0,0,0,0,10,0,1,0,0
allenja01,2025,41.0,Jarrett Allen,26.0,CLE,C,82.0,82.0,2296.0,7.1,10.0,0.706,0.0,0.1,0.0,7.1,10.0,0.712,0.706,3.1,4.3,0.718,3.4,9.1,12.5,2.5,1.2,1.1,1.5,2.0,17.3,0,0,0,0,0,0,0,0,0,0,0,0
paulch01,2025,42.0,Chris Paul,39.0,SAS,PG,82.0,82.0,2292.0,3.9,9.2,0.427,2.2,5.8,0.377,1.7,3.3,0.514,0.547,1.3,1.4,0.924,0.5,4.1,4.6,9.5,1.6,0.3,2.0,2.4,11.4,0,0,0,0,0,0,0,0,0,0,0,0
simonan01,2025,43.0,Anfernee Simons,25.0,POR,SG,70.0,70.0,2292.0,7.5,17.7,0.426,3.4,9.3,0.363,4.1,8.4,0.496,0.521,2.7,3.0,0.902,0.4,2.6,3.0,5.3,0.9,0.1,2.2,1.8,21.2,0,0,0,0,0,0,0,0,0,0,0,0
antetgi01,2025,44.0,Giannis Antetokounmpo,30.0,MIL,PF,67.0,67.0,2289.0,12.5,20.7,0.601,0.2,1.0,0.222,12.3,19.8,0.62,0.607,6.9,11.1,0.617,2.3,10.2,12.6,6.8,0.9,1.2,3.2,2.4,32.0,0,1,0,0,0,8,0,3,1,0,0,0
